username;name;gender;birth_date;account_creation;pay_method;account_status
NSantos90;Noah da Santos;M;27/09/2002;04/06/2019;credit_card;active
AnCruz;Ana Cruz;F;29/06/1998;24/10/2021;credit_card;active
BeatrValente18;Beatriz Valente;F;01/01/1999;28/09/2018;cash;active
PCarneiro;Patrícia Carneiro;F;21/12/1993;26/04/2010;cash;active
GMonteiro34;Gil da Monteiro;M;03/07/1987;18/02/2021;credit_card;active
GMota-Andrade71;Guilherme Mota-Andrade;M;23/09/1978;27/06/2016;debit_card;active
BPaiva-Carvalho;Bernardo Paiva-Carvalho;M;27/07/1967;09/10/2019;debit_card;active
PetSousa;Petra Sousa;F;21/08/1958;01/10/2012;cash;active
GiLopes;Gil Lopes;M;14/07/2002;23/12/2019;credit_card;inactive
SantiagBrito90;Santiago Brito;M;13/08/2002;13/11/2019;credit_card;active
ÁlvMarques;Álvaro Marques;M;30/07/1974;01/05/2010;cash;inactive
ERibeiro69;Enzo Ribeiro;M;17/05/1957;17/05/2015;cash;active
VMartins93;Vasco Martins;M;02/03/1998;02/08/2014;credit_card;active
HenrBatista140;Henrique Batista;M;02/06/1959;15/02/2012;credit_card;active
KyBaptista113;Kyara Baptista;F;07/11/1999;07/03/2010;credit_card;active
MiAbreu;Miriam Abreu;F;04/05/1992;05/09/2012;debit_card;active
JéssPires;Jéssica Pires;F;16/08/1951;12/07/2013;debit_card;active
BrunJesus;Bruna de Jesus;F;14/09/1969;01/01/2011;credit_card;inactive
CCampos;Constança Campos;F;22/02/1984;14/02/2010;debit_card;active
SebastiPereira72;Sebastião de Pereira;M;21/12/1997;30/03/2019;credit_card;active
TomCorreia128;Tomé do Correia;M;15/01/1951;11/03/2015;cash;active
ErFonseca;Erica Fonseca;F;24/01/2004;19/12/2020;credit_card;inactive
BenedAmorim;Benedita Amorim;F;22/02/1975;17/11/2011;debit_card;active
ÍriCastro150;Íris Castro;F;29/11/1998;05/04/2010;credit_card;active
ESousa3;Eva Sousa;F;02/01/1956;07/01/2012;cash;active
DieBranco55;Diego Branco;M;18/09/1950;13/09/2015;debit_card;active
MargarFreitas;Margarida Freitas;F;25/06/1965;05/10/2011;credit_card;active
SalMiranda35;Salvador Miranda;M;02/09/1997;23/06/2018;debit_card;active
CFreitas120;Carlos Freitas;M;11/04/1962;17/06/2010;debit_card;active
WilliaCorreia23;William Correia;M;13/02/2003;11/12/2012;cash;active
HenNascimento62;Henrique Nascimento;M;01/06/2000;27/02/2010;debit_card;active
ÂAndrade-Martins;Ângelo Andrade-Martins;M;08/08/1964;27/07/2019;cash;active
VFonseca;Vera Fonseca;F;09/01/1988;14/03/2010;debit_card;active
CaroGomes;Carolina Gomes;F;21/01/1970;23/10/2018;credit_card;active
CéNeves16;César Neves;M;21/08/1978;30/10/2016;cash;active
RúbMatos;Rúben do Matos;M;03/02/1977;13/11/2015;cash;active
RaqueVicente127;Raquel Vicente;F;30/09/1999;27/07/2012;cash;active
RuNeto;Rui Neto;M;24/02/1961;17/11/2012;debit_card;active
JaimNeves;Jaime Neves;M;16/03/1965;09/02/2018;cash;active
TaMacedo86;Tatiana Macedo;F;23/03/1985;17/10/2017;cash;active
DaFonseca;David Fonseca;M;29/10/1950;23/10/2019;debit_card;active
SantiaPinheiro127;Santiago Pinheiro;M;27/08/1960;16/08/2019;credit_card;active
DRocha-Correia;Débora Rocha-Correia;F;02/06/1951;03/10/2017;debit_card;active
CTeixeira7;Cláudio Teixeira;M;01/02/1990;21/01/2020;debit_card;active
LuFaria37;Luís Faria;M;09/07/1978;16/06/2016;cash;active
CarmCoelho;Carminho Coelho;F;20/04/1976;22/10/2016;debit_card;active
NúriAlmeida;Núria Almeida;F;27/03/1991;15/05/2015;credit_card;active
MatAzevedo98;Matias Azevedo;M;27/07/1979;16/02/2014;credit_card;active
CatNeto143;Catarina Neto;F;03/04/1977;28/05/2016;debit_card;active
JúTeixeira114;Júlia Teixeira;F;01/06/1975;04/04/2015;cash;active
TiaGarcia43;Tiago Garcia;M;30/04/1979;02/08/2020;cash;active
LaMiranda;Lara Miranda;F;22/02/1972;21/12/2015;credit_card;active
DinPinto48;Dinis de Pinto;M;20/08/1989;25/03/2017;credit_card;active
VictóriHenriques101;Victória Henriques;F;01/10/1988;08/01/2012;debit_card;active
EduarDomingues;Eduardo Domingues;M;19/01/1973;20/01/2012;debit_card;active
AdriaEsteves;Adriana Esteves;F;02/06/1953;03/02/2010;credit_card;active
SebastiãGaspar31;Sebastião Gaspar;M;12/01/1991;12/04/2010;cash;active
CláudiMatos;Cláudio Matos;M;25/10/1987;26/12/2017;debit_card;inactive
PBatista;Pedro Batista;M;23/09/1997;01/10/2015;debit_card;active
DinFigueiredo46;Dinis Figueiredo;M;18/01/1982;21/10/2021;debit_card;active
MartMonteiro;Marta Monteiro;F;05/11/2004;18/11/2016;cash;active
CaReis84;Caetana Reis;F;31/08/1991;12/07/2013;debit_card;active
RafaeMarques35;Rafaela Marques;F;10/09/1975;18/08/2010;credit_card;active
SCruz-Ferreira23;Sandro Cruz-Ferreira;M;08/10/1980;08/10/2011;debit_card;active
ValenRodrigues;Valentim Rodrigues;M;02/11/1986;31/12/2013;cash;active
ECampos16;Erika Campos;F;16/07/1964;28/03/2012;credit_card;active
GusCruz;Gustavo Cruz;M;25/05/1951;22/05/2014;cash;active
LuanCarneiro-Gonçalves;Luana Carneiro-Gonçalves;F;13/07/1952;14/09/2015;debit_card;active
SNunes50;Sandro Nunes;M;20/05/1999;10/01/2011;debit_card;active
TSilva;Tomé da Silva;M;02/12/1992;11/02/2012;credit_card;active
ÍVicente70;Íris Vicente;F;26/04/1967;29/10/2018;credit_card;active
FlLopes2;Flor Lopes;F;29/09/1975;10/04/2011;debit_card;inactive
JoMagalhães;José Magalhães;M;08/06/1959;14/03/2014;cash;active
WilsMoreira90;Wilson Moreira;M;07/01/1951;16/04/2012;cash;active
LuíAzevedo;Luís de Azevedo;M;20/07/1964;23/08/2017;debit_card;active
JoaGarcia9;Joana Garcia;F;20/05/1958;26/05/2015;cash;active
MMota;Mia Mota;F;19/04/2001;12/08/2019;credit_card;active
NicoAraújo;Nicole da Araújo;F;07/09/1975;16/12/2018;cash;active
CaCardoso-Gonçalves81;Carlota Cardoso-Gonçalves;F;15/01/1996;02/05/2012;credit_card;active
DiJesus-Matias66;Diana Jesus-Matias;F;03/11/1950;01/08/2016;credit_card;active
EmaMiranda39;Emanuel Miranda;M;20/07/1983;23/05/2021;cash;active
TaMartins37;Tatiana Martins;F;30/07/2003;25/03/2015;debit_card;active
BriaSousa79;Brian Sousa;M;12/04/1985;08/02/2012;credit_card;active
PauSoares18;Paulo Soares;M;17/04/1963;13/01/2014;debit_card;active
XavieMarques;Xavier Marques;M;14/04/1977;18/02/2017;cash;active
XCarneiro100;Xavier Carneiro;M;06/05/1977;29/01/2011;cash;active
SalvadDomingues115;Salvador Domingues;M;14/08/1967;15/08/2017;debit_card;active
WiTavares72;William Tavares;M;11/12/1985;09/03/2017;credit_card;active
PSoares99;Pilar da Soares;F;23/03/2002;28/08/2018;debit_card;active
BernMatias-Nogueira;Bernardo Matias-Nogueira;M;21/02/1993;20/05/2017;debit_card;active
DiAbreu146;Diana-Nádia Abreu;F;18/07/1968;21/07/2019;credit_card;active
Bárbara-EduaMaia;Bárbara-Eduarda Maia;F;20/05/1971;25/02/2014;credit_card;active
ArtLourenço-Pinho;Artur Lourenço-Pinho;M;22/11/1951;18/01/2019;debit_card;active
VicCosta;Vicente Costa;M;06/06/1953;11/05/2021;credit_card;active
ClLeite2;Clara Leite;F;19/04/1994;20/08/2016;cash;active
DiegBatista51;Diego da Batista;M;20/06/1994;06/10/2011;credit_card;active
NúriSá94;Núria Sá;F;11/12/1978;12/07/2015;credit_card;active
TiaMartins63;Tiago Martins;M;28/04/1998;29/12/2020;cash;active
JoãBaptista118;João Baptista;M;04/05/1988;25/04/2018;credit_card;active
MatiPinheiro;Matilde Pinheiro;F;24/01/1981;06/06/2012;credit_card;active
JGuerreiro;Joaquim Guerreiro;M;15/12/1987;24/07/2017;cash;active
LaurAnjos;Laura Anjos;F;02/10/1968;26/05/2016;cash;active
MafRocha123;Mafalda Rocha;F;02/11/1997;14/04/2016;debit_card;active
MiMorais;Mia Morais;F;07/09/1986;10/09/2015;debit_card;active
AmélGuerreiro134;Amélia Guerreiro;F;24/11/1977;12/02/2012;cash;active
DuartRamos113;Duarte Ramos;M;22/07/1963;15/10/2021;cash;active
EMacedo62;Emma Macedo;F;07/03/1954;16/08/2018;debit_card;active
LunGonçalves;Luna Gonçalves;F;06/02/1981;27/06/2019;credit_card;active
AlíciAzevedo;Alícia Azevedo;F;15/02/1983;09/05/2015;credit_card;active
EmílFreitas39;Emília-Ana Freitas;F;02/03/1997;26/11/2010;credit_card;active
InPires31;Inês Pires;F;08/02/1954;27/03/2010;debit_card;active
GRodrigues-Teixeira;Gonçalo Rodrigues-Teixeira;M;15/09/1970;25/12/2016;debit_card;inactive
LucTavares142;Lucas Tavares;M;12/03/1965;27/05/2017;cash;active
Yara-EdRibeiro111;Yara-Eduarda Ribeiro;F;02/01/1987;06/07/2017;cash;active
MarRibeiro53;Marco Ribeiro;M;01/09/1995;26/04/2013;credit_card;active
LReis55;Luís Reis;M;24/03/1983;26/12/2017;debit_card;active
BenPires138;Benedita Pires;F;22/02/1952;12/11/2013;debit_card;active
TCampos106;Tiago Campos;M;07/12/1966;03/08/2018;debit_card;active
BeatrAmaral12;Beatriz Amaral;F;29/03/1994;11/04/2017;debit_card;active
DNogueira;Dinis Nogueira;M;04/05/1959;12/11/2019;cash;active
GonçMoura42;Gonçalo Moura;M;19/02/2001;03/11/2014;cash;active
ValentiLoureiro;Valentim da Loureiro;M;18/07/1987;26/12/2012;credit_card;active
NOliveira;Nair da Oliveira;F;08/09/1976;20/12/2011;debit_card;active
DaviCardoso45;David Cardoso;M;06/03/1988;07/12/2013;credit_card;active
Luana-AndrVicente100;Luana-Andreia Vicente;F;09/11/2000;29/02/2016;debit_card;active
CaeNogueira;Caetana de Nogueira;F;09/10/1977;06/07/2021;debit_card;active
AriAntunes;Ariana da Antunes;F;30/12/1965;16/07/2021;debit_card;active
VBaptista79;Vítor Baptista;M;18/01/1951;02/05/2021;cash;active
AleGaspar8;Alexandre Gaspar;M;16/08/1977;14/03/2015;debit_card;active
LuanLoureiro;Luana-Salomé Loureiro;F;13/03/1991;20/04/2019;credit_card;active
RSilva136;Rúben do Silva;M;14/10/1990;28/09/2014;cash;active
ESoares142;Eduarda da Soares;F;22/05/1964;07/02/2010;debit_card;active
VascFreitas;Vasco Freitas;M;17/02/1965;28/02/2016;cash;active
LiNeves69;Lia Neves;F;13/10/1958;14/09/2012;cash;active
YaMoura;Yara Moura;F;17/05/1973;06/12/2011;credit_card;active
HeMorais55;Henrique Morais;M;27/05/1978;03/02/2016;cash;inactive
IsaBrito;Isabel Brito;F;23/07/2003;12/09/2021;cash;active
LMoreira;Luna Moreira;F;19/07/1950;06/06/2015;debit_card;active
KyaraMaia11;Kyara-Larissa Maia;F;25/10/1975;04/12/2019;cash;active
IsabelTavares-Pinho;Isabela Tavares-Pinho;F;05/04/2003;30/10/2021;cash;active
SPereira;Santiago Pereira;M;19/07/1975;19/11/2012;debit_card;active
LCruz;Lisandro Cruz;M;14/02/1958;18/06/2010;cash;active
MélanPacheco;Mélanie-Kelly Pacheco;F;16/10/1956;18/09/2017;cash;active
FilBaptista46;Filipe do Baptista;M;19/11/1997;21/04/2019;cash;inactive
GuilhermAmorim84;Guilherme Amorim;M;20/11/1974;18/09/2010;debit_card;active
RuNascimento;Rui Nascimento;M;13/07/2002;27/08/2014;credit_card;active
AnRamos149;Andreia Ramos;F;28/03/1966;30/04/2018;credit_card;active
AmNunes;Amélia-Mariana Nunes;F;02/12/1970;25/06/2010;cash;active
CláPires;Cláudio Pires;M;27/09/2000;15/11/2012;cash;active
EriCarneiro-Valente;Erica Carneiro-Valente;F;09/05/1993;27/10/2010;cash;inactive
MaFernandes72;Madalena Fernandes;F;07/03/2004;03/01/2017;debit_card;active
AfonsPinho8;Afonso Pinho;M;09/11/1995;24/05/2011;credit_card;active
CMacedo-Monteiro129;Carlota Macedo-Monteiro;F;12/09/1976;15/10/2017;credit_card;active
ValeAntunes-Moreira;Valentim Antunes-Moreira;M;08/03/1970;17/06/2021;debit_card;active
CésAzevedo;César Azevedo;M;09/12/1983;06/10/2015;credit_card;active
MigueCoelho146;Miguel de Coelho;M;27/07/1998;15/03/2010;credit_card;active
BiaBatista134;Bianca Batista;F;26/08/1960;03/01/2010;cash;inactive
Yara-SofCosta;Yara-Sofia Costa;F;17/01/1962;30/06/2020;debit_card;inactive
DMelo;Daniela Melo;F;23/07/2002;17/12/2017;debit_card;active
MMelo-Gomes;Marco Melo-Gomes;M;05/03/1951;23/09/2011;debit_card;active
PilaSoares-Mota116;Pilar Soares-Mota;F;02/01/1957;13/01/2011;debit_card;active
VeraGuerreiro;Vera-Margarida Guerreiro;F;18/10/1995;30/12/2019;credit_card;active
RVieira23;Rui Vieira;M;20/10/2000;02/12/2014;debit_card;active
MaNogueira122;Manuel Nogueira;M;23/02/1996;17/05/2013;cash;active
RiGonçalves-Coelho115;Rita Gonçalves-Coelho;F;10/08/1990;07/02/2016;credit_card;active
ManuMiranda137;Manuel Miranda;M;28/06/1991;03/08/2017;debit_card;active
TeLima-Pinho46;Teresa Lima-Pinho;F;22/06/1985;10/11/2020;credit_card;inactive
LúciLourenço;Lúcia do Lourenço;F;22/12/1963;01/03/2018;debit_card;active
EdgaMendes;Edgar de Mendes;M;09/12/1967;07/11/2015;cash;active
IRodrigues-Pereira;Ismael Rodrigues-Pereira;M;10/10/1971;24/08/2017;debit_card;active
GonçalBrito;Gonçalo Brito;M;27/12/1951;21/08/2020;credit_card;inactive
Leonor-DébNogueira123;Leonor-Débora Nogueira;F;20/03/1959;17/07/2021;cash;active
MelissaAbreu95;Melissa-Lúcia Abreu;F;25/04/1974;14/01/2014;credit_card;active
VitóriMoreira18;Vitória Moreira;F;25/06/1976;14/03/2021;cash;active
LiOliveira;Lia Oliveira;F;23/04/1988;01/07/2013;debit_card;active
MariaTorres139;Mariana Torres;F;22/01/2003;21/05/2010;credit_card;active
JoaFreitas;Joaquim Freitas;M;27/04/1991;20/03/2015;credit_card;active
DaviPinto;David Pinto;M;08/02/1986;28/12/2010;debit_card;active
BPinto104;Bernardo Pinto;M;09/07/1950;15/03/2011;debit_card;active
EnBatista91;Enzo da Batista;M;26/01/1988;30/07/2017;debit_card;active
NiAbreu;Nicole Abreu;F;27/08/2004;28/01/2015;cash;active
IrinFerreira43;Irina Ferreira;F;12/06/1984;25/08/2011;cash;active
XaMachado-Abreu26;Xavier Machado-Abreu;M;29/09/1960;02/08/2017;cash;active
EmmCarvalho75;Emma Carvalho;F;27/03/1975;13/02/2021;debit_card;active
IvReis125;Ivo Reis;M;14/10/1953;17/11/2010;cash;inactive
DeniFreitas;Denis Freitas;M;23/02/1976;11/11/2011;debit_card;active
JoanPinto132;Joana Pinto;F;06/10/1962;01/02/2012;debit_card;active
MaurLoureiro;Mauro Loureiro;M;03/06/1970;16/06/2013;cash;active
DiNeto109;Dinis Neto;M;12/02/1981;07/06/2016;cash;active
ErVaz;Erica Vaz;F;04/04/2003;07/06/2013;debit_card;active
ISousa;Ivo Sousa;M;15/08/1974;05/11/2012;cash;active
TaBrito82;Tatiana Brito;F;30/09/2000;14/08/2020;debit_card;inactive
FiliReis17;Filipe Reis;M;27/12/1974;07/10/2016;cash;active
PilGarcia51;Pilar Garcia;F;22/01/1955;01/03/2014;cash;inactive
SandrNeto;Sandro Neto;M;18/09/1990;25/05/2018;debit_card;active
GMarques;Gonçalo Marques;M;12/09/1957;28/12/2015;debit_card;active
DPires56;Débora Pires;F;11/03/1956;13/04/2011;cash;active
RenatPacheco;Renata Pacheco;F;27/10/2002;08/11/2011;cash;active
VictóGarcia;Victória Garcia;F;01/06/1961;29/06/2012;cash;active
WillSilva;William Silva;M;28/01/1978;16/05/2019;credit_card;active
NMoreira;Noa Moreira;M;13/06/1964;06/12/2016;credit_card;active
ReCorreia93;Renata de Correia;F;17/05/1984;20/05/2019;cash;active
NPereira134;Nelson Pereira;M;21/12/1965;12/02/2016;cash;active
PedrCarvalho15;Pedro Carvalho;M;28/06/1988;30/11/2011;credit_card;active
JulianSantos89;Juliana Santos;F;07/12/1990;05/10/2011;cash;active
GonçalCampos-Araújo;Gonçalo Campos-Araújo;M;14/07/1991;25/05/2015;credit_card;inactive
GabrAndrade121;Gabriel Andrade;M;16/02/1966;16/07/2019;debit_card;active
JoãBaptista14;João Baptista;M;26/07/1960;23/01/2013;credit_card;active
ViceBorges;Vicente Borges;M;07/03/1972;13/07/2021;debit_card;active
RafaelTorres29;Rafaela Torres;F;17/06/1987;09/11/2012;credit_card;active
KyarAraújo;Kyara Araújo;F;22/09/1973;29/09/2021;debit_card;active
ClaBatista82;Clara Batista;F;30/09/1977;07/05/2018;cash;active
STeixeira36;Sérgio Teixeira;M;01/03/1952;14/02/2020;credit_card;active
YaPinheiro;Yasmin Pinheiro;F;28/06/1980;07/11/2010;debit_card;inactive
CaAssunção9;Carlos Assunção;M;28/07/1968;10/08/2021;cash;active
BrunGuerreiro;Bruna Guerreiro;F;05/11/1996;29/04/2012;credit_card;active
GabriGaspar131;Gabriel Gaspar;M;23/11/1994;27/01/2018;cash;active
DNeves;Dinis Neves;M;25/02/1956;13/02/2013;cash;active
LucAzevedo143;Luca Azevedo;M;17/02/1976;14/12/2012;debit_card;active
RafaeMatias48;Rafaela Matias;F;06/11/1966;04/04/2019;credit_card;active
XaviMagalhães;Xavier Magalhães;M;20/06/1955;08/09/2021;cash;inactive
EnTeixeira53;Enzo da Teixeira;M;06/06/1998;09/08/2015;credit_card;active
IvVicente49;Ivo Vicente;M;29/04/2004;21/02/2011;debit_card;active
SalvaMoreira;Salvador do Moreira;M;18/03/1987;11/09/2010;debit_card;active
JaimMagalhães;Jaime Magalhães;M;06/07/1974;13/05/2021;credit_card;active
IDomingues66;Ivo Domingues;M;15/02/1956;02/11/2017;debit_card;active
FeCardoso-Amorim;Fernando Cardoso-Amorim;M;28/04/1959;06/10/2012;cash;active
WilliaNascimento109;William Nascimento;M;20/01/1987;12/08/2018;cash;active
LLourenço66;Leonardo Lourenço;M;10/12/1980;18/06/2014;credit_card;active
MafFernandes20;Mafalda Fernandes;F;31/12/2002;04/12/2010;credit_card;inactive
LorVieira28;Lorena Vieira;F;19/06/1989;24/10/2014;cash;active
RiTeixeira;Rita Teixeira;F;19/02/1980;05/11/2016;debit_card;active
LarGonçalves90;Lara Gonçalves;F;27/04/1974;07/04/2015;debit_card;active
Luana-LetíciAssunção96;Luana-Letícia Assunção;F;13/12/1985;22/05/2010;debit_card;active
MiguNascimento63;Miguel Nascimento;M;12/03/2003;15/08/2017;debit_card;active
FCosta;Fábio Costa;M;11/12/1992;27/09/2021;cash;active
FáPaiva4;Fábio Paiva;M;15/01/1980;01/10/2014;credit_card;active
JoaEsteves-Nascimento;Joana Esteves-Nascimento;F;13/07/2003;06/04/2017;cash;active
Ema-BiaMiranda;Ema-Bianca Miranda;F;12/09/1950;15/11/2014;cash;active
LTorres;Luca Torres;M;15/05/1972;18/01/2013;debit_card;active
MartMartins;Marta Martins;F;12/10/1978;17/01/2010;credit_card;active
DEsteves;Diogo de Esteves;M;15/05/1980;03/04/2020;debit_card;active
ArtuAntunes;Artur Antunes;M;03/11/1979;26/07/2015;debit_card;active
DuartPinho-Neves21;Duarte Pinho-Neves;M;23/01/1980;20/04/2015;credit_card;active
DeniGomes98;Denis Gomes;M;05/10/1968;13/12/2021;debit_card;active
SebastPacheco106;Sebastião da Pacheco;M;03/07/1976;12/08/2015;debit_card;active
MadRamos;Madalena-Emília Ramos;F;18/07/1953;29/11/2012;debit_card;active
RaMiranda;Rafael Miranda;M;15/04/1990;08/07/2017;debit_card;active
JorgLeal;Jorge Leal;M;15/09/1952;20/11/2020;cash;active
JúliRocha5;Júlia Rocha;F;10/06/1968;08/05/2010;debit_card;active
KBaptista149;Kelly Baptista;F;30/07/1999;29/04/2012;debit_card;active
NunMatias;Nuno Matias;M;11/11/1955;24/08/2016;cash;active
SiLeal;Simão Leal;M;05/06/1962;27/08/2019;cash;active
LeonPinto;Leonardo Pinto;M;15/07/1955;08/11/2020;credit_card;active
BJesus143;Beatriz Jesus;F;27/01/1981;05/08/2021;debit_card;active
VaAbreu99;Vasco Abreu;M;20/07/1978;23/03/2016;debit_card;active
LetícFernandes;Letícia Fernandes;F;25/09/1978;23/05/2013;debit_card;active
SimAmaral;Simão Amaral;M;29/09/1998;12/03/2020;cash;active
MicaeDomingues42;Micael da Domingues;M;29/10/1954;03/01/2015;cash;active
DuartRibeiro;Duarte Ribeiro;M;03/07/1980;09/02/2013;credit_card;active
RitMorais;Rita Morais;F;23/11/2003;26/09/2014;debit_card;active
TomBaptista45;Tomé de Baptista;M;11/08/1955;11/10/2021;cash;active
JoMarques5;Joel Marques;M;12/01/1979;06/08/2017;cash;active
JSousa93;Jorge Sousa;M;07/06/1961;06/02/2017;debit_card;active
GuAssunção;Guilherme Assunção;M;06/07/1983;14/07/2014;credit_card;active
FiMiranda-Vieira;Filipe Miranda-Vieira;M;06/04/1955;25/05/2015;cash;active
AntóniRamos96;António Ramos;M;09/06/1980;05/09/2017;cash;active
NiBatista87;Nicole Batista;F;15/12/1971;13/01/2017;debit_card;active
FrMartins-Neto;Francisca Martins-Neto;F;29/03/1972;12/03/2010;cash;active
TatSantos73;Tatiana Santos;F;11/07/1974;18/08/2016;credit_card;active
BCampos99;Beatriz Campos;F;20/03/1993;22/10/2015;credit_card;active
EvTavares146;Eva Tavares;F;19/10/1988;25/04/2016;debit_card;active
ErSoares;Erica Soares;F;25/11/1960;23/01/2010;credit_card;active
MiriVicente82;Miriam Vicente;F;24/10/1951;30/06/2019;debit_card;active
EAbreu;Emma Abreu;F;08/03/2004;11/04/2021;debit_card;active
EdPinho62;Eduarda Pinho;F;07/06/1964;05/11/2013;debit_card;active
MPinheiro-Correia;Micael Pinheiro-Correia;M;22/05/1954;12/08/2017;debit_card;active
CarlRocha18;Carlota Rocha;F;18/04/1986;29/09/2013;debit_card;inactive
GValente47;Gil Valente;M;22/04/1987;20/04/2012;credit_card;active
LúciMatos;Lúcia Matos;F;04/03/1987;27/08/2011;cash;active
EduaMota101;Eduardo Mota;M;24/01/1992;01/08/2019;credit_card;active
SFonseca88;Sara Fonseca;F;05/04/1962;12/02/2019;debit_card;active
AAnjos-Carvalho146;Ana Anjos-Carvalho;F;09/04/1970;30/12/2011;credit_card;active
EBaptista;Ema Baptista;F;03/09/2002;11/09/2011;cash;active
CaGaspar131;Carlos Gaspar;M;03/08/1984;01/09/2021;cash;active
CéMagalhães29;César Magalhães;M;14/02/1966;16/12/2010;cash;active
GabrSantos;Gabriel Santos;M;30/08/1996;01/05/2018;debit_card;active
CaetJesus147;Caetana da Jesus;F;29/05/1999;15/03/2016;debit_card;active
MiguFreitas51;Miguel Freitas;M;22/02/1964;27/02/2019;credit_card;active
FredeVicente55;Frederico Vicente;M;25/09/1993;21/06/2019;debit_card;active
IFerreira;Igor Ferreira;M;14/06/1952;01/04/2017;credit_card;active
MadalSimões;Madalena Simões;F;11/05/1951;28/02/2014;credit_card;active
SofMendes;Sofia Mendes;F;27/06/1954;27/02/2011;credit_card;active
IsAbreu124;Isaac Abreu;M;13/11/1953;05/08/2020;debit_card;active
CarLourenço;Carlos Lourenço;M;11/07/1992;22/11/2014;cash;active
MafaLeal;Mafalda Leal;F;30/12/1951;21/08/2017;credit_card;active
IgoTavares;Igor de Tavares;M;12/01/1987;17/09/2020;debit_card;active
EriFreitas;Erica Freitas;F;26/05/1984;24/09/2014;credit_card;active
IaBranco91;Iara de Branco;F;16/08/1965;15/01/2014;credit_card;inactive
AleMacedo;Alexandre do Macedo;M;01/02/1967;17/04/2016;debit_card;active
NiPinho;Nicole Pinho;F;07/04/1999;27/04/2015;debit_card;active
FrancisNunes123;Francisco Nunes;M;19/03/1974;01/11/2018;credit_card;active
IsmTorres;Ismael Torres;M;13/11/1995;23/01/2017;credit_card;active
IsabeMatias;Isabela Matias;F;23/01/1959;23/07/2013;credit_card;active
MBarros-Maia;Mariana Barros-Maia;F;15/11/1969;06/06/2015;debit_card;active
NúriFerreira4;Núria Ferreira;F;01/09/1966;07/10/2010;debit_card;active
BrunAzevedo42;Bruno Azevedo;M;11/12/1953;06/05/2013;debit_card;active
ÉricMonteiro;Érica Monteiro;F;19/11/1979;13/08/2019;credit_card;active
PCardoso22;Pedro Cardoso;M;08/02/1968;14/10/2012;cash;active
LAzevedo117;Luna Azevedo;F;30/03/1960;10/03/2012;cash;active
LAntunes103;Luca Antunes;M;16/06/1976;09/01/2020;cash;active
PatrícMendes113;Patrícia Mendes;F;03/09/1995;06/12/2014;credit_card;active
LourençOliveira;Lourenço Oliveira;M;07/07/1974;11/03/2010;debit_card;active
CaetanCosta55;Caetana Costa;F;30/04/1970;01/07/2017;debit_card;active
MarBatista;Martim Batista;M;29/08/1961;25/03/2017;cash;active
MAmaral87;Miguel Amaral;M;28/11/1991;21/01/2018;debit_card;active
RaMarques;Rafaela Marques;F;10/08/2003;16/02/2018;credit_card;active
EdgMendes2;Edgar Mendes;M;10/01/1974;24/04/2015;cash;active
RenMachado;Renato Machado;M;24/06/1971;17/12/2020;cash;active
MirOliveira99;Miriam Oliveira;F;20/07/1972;30/04/2013;credit_card;active
BryCoelho43;Bryan Coelho;M;21/04/1985;14/07/2020;credit_card;active
SaAlves100;Salvador de Alves;M;08/04/1980;18/02/2018;credit_card;active
IgGarcia27;Igor Garcia;M;29/04/1993;27/08/2014;cash;active
GasMachado;Gaspar Machado;M;29/10/1998;15/05/2016;debit_card;active
GuilheMartins;Guilherme Martins;M;04/02/1995;04/02/2020;debit_card;active
MaMagalhães40;Matias Magalhães;M;06/08/1980;06/06/2021;debit_card;inactive
LuPereira;Luís Pereira;M;26/06/1961;17/05/2014;cash;active
JoFigueiredo17;José Figueiredo;M;08/05/1957;01/01/2018;credit_card;active
XavRamos;Xavier Ramos;M;21/06/1954;30/07/2020;debit_card;inactive
PCastro26;Petra do Castro;F;04/10/1954;07/05/2012;credit_card;active
GustPaiva;Gustavo Paiva;M;06/02/1977;24/09/2013;credit_card;active
ErikGaspar;Erika de Gaspar;F;21/07/1969;03/04/2011;debit_card;active
SimCarvalho;Simão Carvalho;M;27/01/1956;24/10/2013;credit_card;active
LúMoura;Lúcia Moura;F;23/05/1984;07/05/2016;credit_card;active
LoreSoares;Lorena Soares;F;16/10/1998;02/10/2014;debit_card;active
ClaraAmaral;Clara-Sara Amaral;F;24/11/1965;09/07/2014;cash;active
LucianRibeiro52;Luciana Ribeiro;F;01/02/1971;16/11/2016;debit_card;active
MarcoAbreu105;Marcos Abreu;M;15/04/1950;29/10/2021;cash;active
TerNogueira;Teresa Nogueira;F;27/03/1977;29/04/2012;debit_card;active
ERamos39;Ema-Letícia Ramos;F;29/09/1995;26/02/2011;cash;inactive
DaniMiranda;Daniel Miranda;M;05/03/1971;30/12/2020;credit_card;active
GiSimões-Costa;Gil Simões-Costa;M;06/11/1978;01/10/2018;credit_card;active
SalFonseca;Salvador Fonseca;M;20/04/1982;18/03/2018;debit_card;active
VeBarros;Vera Barros;F;30/05/1951;01/07/2014;debit_card;inactive
EriSoares51;Erika Soares;F;01/10/1950;12/05/2011;debit_card;inactive
APinheiro;Andreia Pinheiro;F;20/03/1959;31/12/2017;cash;active
ÁlvMendes1;Álvaro Mendes;M;18/10/1989;29/05/2011;cash;active
FiMiranda;Filipa Miranda;F;04/01/1990;09/11/2015;credit_card;active
